epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,55.9094,1.32743,2.89424,1.63165,0.01575,1,0.995,0.44535,1.33683,3.64699,2.10893,0.000154352,0.000154352,0.000154352
31,57.64,1.03077,2.85146,1.89829,0.01575,1,0.995,0.44535,1.33683,3.64699,2.10893,0.00015225,0.00015225,0.00015225
32,59.4349,1.86427,3.22596,2.17926,0.01575,1,0.995,0.44535,1.33683,3.64699,2.10893,0.000149652,0.000149652,0.000149652
33,64.0045,1.39758,2.99324,1.92743,0.01575,1,0.995,0.44535,1.33683,3.64699,2.10893,0.00014656,0.00014656,0.00014656
34,65.8552,1.39449,2.88208,1.64532,0.01575,1,0.995,0.44535,1.33683,3.64699,2.10893,0.000142972,0.000142972,0.000142972
35,67.6377,1.3464,2.78853,1.67492,0.01695,1,0.995,0.44658,1.32397,3.54857,2.15554,0.00013889,0.00013889,0.00013889
36,69.3645,1.06894,2.71264,1.59427,0.01695,1,0.995,0.44658,1.32397,3.54857,2.15554,0.000134313,0.000134313,0.000134313
37,71.2532,2.01856,3.07895,2.10388,0.01695,1,0.995,0.44658,1.32397,3.54857,2.15554,0.00012924,0.00012924,0.00012924
38,73.4081,1.43221,2.84461,1.78818,0.01695,1,0.995,0.44658,1.32397,3.54857,2.15554,0.000123672,0.000123672,0.000123672
39,75.3631,1.07922,2.94212,1.52622,0.01695,1,0.995,0.44658,1.32397,3.54857,2.15554,0.00011761,0.00011761,0.00011761
40,76.9549,1.71962,2.86493,2.07422,0.01695,1,0.995,0.44658,1.32397,3.54857,2.15554,0.000111052,0.000111052,0.000111052
41,78.7356,0.83566,2.79051,1.54267,0.01695,1,0.995,0.44658,1.32397,3.54857,2.15554,0.000104,0.000104,0.000104
42,80.8035,0.77248,2.78035,1.89981,0.01786,1,0.82833,0.41056,1.20004,3.51108,1.95467,9.64525e-05,9.64525e-05,9.64525e-05
43,82.7518,1.31695,3.1446,2.19154,0.01786,1,0.82833,0.41056,1.20004,3.51108,1.95467,8.841e-05,8.841e-05,8.841e-05
44,84.8956,0.41168,2.71076,1.39237,0.01786,1,0.82833,0.41056,1.20004,3.51108,1.95467,7.98725e-05,7.98725e-05,7.98725e-05
45,87.0084,1.07247,3.15965,1.71026,0.01786,1,0.82833,0.41056,1.20004,3.51108,1.95467,7.084e-05,7.084e-05,7.084e-05
46,89.0908,0.51099,2.69581,1.39968,0.01786,1,0.82833,0.41056,1.20004,3.51108,1.95467,6.13125e-05,6.13125e-05,6.13125e-05
47,91.2628,1.04189,2.74803,1.70996,0.01786,1,0.82833,0.41056,1.20004,3.51108,1.95467,5.129e-05,5.129e-05,5.129e-05
48,93.2753,1.4179,3.03255,1.79313,0.01786,1,0.82833,0.41056,1.20004,3.51108,1.95467,4.07725e-05,4.07725e-05,4.07725e-05
49,95.2919,1.1115,2.86967,1.75725,0.01786,1,0.82833,0.41056,1.20004,3.51108,1.95467,2.976e-05,2.976e-05,2.976e-05
50,97.651,0.82691,2.55603,1.64518,0.01724,1,0.4975,0.29488,1.23697,3.40159,2.02242,1.82525e-05,1.82525e-05,1.82525e-05
