epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.48679,1.18768,3.35067,2.24084,0.01342,1,0.05135,0.01934,1.67322,3.84445,2.94757,0,0,0
2,3.16821,2.30133,3.47657,2.31759,0.01351,1,0.05024,0.01921,1.65094,3.95609,2.80805,1.22525e-05,1.22525e-05,1.22525e-05
3,5.00822,1.91384,3.28955,1.95925,0.01299,1,0.06352,0.02615,1.60848,4.23955,2.86438,2.401e-05,2.401e-05,2.401e-05
4,6.69603,2.03325,3.47822,3.04476,0.0129,1,0.07078,0.03075,1.72939,4.21784,3.07333,3.52725e-05,3.52725e-05,3.52725e-05
5,8.92368,1.71309,3.40458,2.48926,0.0129,1,0.07078,0.03075,1.72939,4.21784,3.07333,4.604e-05,4.604e-05,4.604e-05
6,10.847,1.79958,3.24757,1.87885,0.01333,1,0.28454,0.09058,1.86744,4.16654,3.1803,5.63125e-05,5.63125e-05,5.63125e-05
7,12.9485,1.74455,3.53231,2.08982,0.01333,1,0.28454,0.09058,1.86744,4.16654,3.1803,6.609e-05,6.609e-05,6.609e-05
8,15.3722,1.41671,3.36645,1.65958,0.01316,1,0.35861,0.1464,1.60597,4.17505,2.8388,7.53725e-05,7.53725e-05,7.53725e-05
9,17.4033,2.09424,3.52324,2.78504,0.01316,1,0.35861,0.1464,1.60597,4.17505,2.8388,8.416e-05,8.416e-05,8.416e-05
10,19.7258,2.03443,3.22477,2.32421,0.01282,1,0.66333,0.26763,1.54099,3.97474,2.48757,9.24525e-05,9.24525e-05,9.24525e-05
11,21.6463,2.29626,3.30094,2.45381,0.01282,1,0.66333,0.26763,1.54099,3.97474,2.48757,0.00010025,0.00010025,0.00010025
12,23.1626,2.30928,3.19909,2.18485,0.01282,1,0.66333,0.26763,1.54099,3.97474,2.48757,0.000107553,0.000107553,0.000107553
13,25.0685,1.81686,3.23764,2.08299,0.01333,1,0.82833,0.3336,1.46218,4.00783,2.47724,0.00011436,0.00011436,0.00011436
14,26.7694,1.36607,3.18387,1.58293,0.01333,1,0.82833,0.3336,1.46218,4.00783,2.47724,0.000120672,0.000120672,0.000120672
15,28.4415,1.08654,3.11715,1.63999,0.01333,1,0.82833,0.3336,1.46218,4.00783,2.47724,0.00012649,0.00012649,0.00012649
16,30.4969,1.2624,2.98114,1.52522,0.01389,1,0.995,0.42823,1.54163,4.06428,2.4585,0.000131813,0.000131813,0.000131813
17,32.3255,1.71261,3.21573,2.04083,0.01389,1,0.995,0.42823,1.54163,4.06428,2.4585,0.00013664,0.00013664,0.00013664
18,33.8915,0.99385,2.91905,1.53807,0.01389,1,0.995,0.42823,1.54163,4.06428,2.4585,0.000140972,0.000140972,0.000140972
19,35.6824,1.40149,3.37786,1.73161,0.01389,1,0.995,0.42823,1.54163,4.06428,2.4585,0.00014481,0.00014481,0.00014481
20,37.5466,1.54254,3.42779,1.92596,0.01379,1,0.995,0.42293,1.54828,3.93046,2.42079,0.000148153,0.000148153,0.000148153
21,39.1554,0.83096,2.89331,1.43599,0.01379,1,0.995,0.42293,1.54828,3.93046,2.42079,0.000151,0.000151,0.000151
22,40.8781,1.20806,3.03358,1.53656,0.01379,1,0.995,0.42293,1.54828,3.93046,2.42079,0.000153353,0.000153353,0.000153353
23,42.6361,1.5713,3.11599,2.158,0.01379,1,0.995,0.42293,1.54828,3.93046,2.42079,0.00015521,0.00015521,0.00015521
24,44.6184,1.04888,2.91203,1.41934,0.01493,1,0.995,0.4357,1.46966,3.64089,2.35868,0.000156573,0.000156573,0.000156573
25,46.608,1.9556,3.14793,1.92778,0.01493,1,0.995,0.4357,1.46966,3.64089,2.35868,0.00015744,0.00015744,0.00015744
26,48.6989,1.88819,3.00005,2.00326,0.01493,1,0.995,0.4357,1.46966,3.64089,2.35868,0.000157812,0.000157812,0.000157812
27,50.5352,1.81363,2.97447,1.92052,0.01493,1,0.995,0.4357,1.46966,3.64089,2.35868,0.00015769,0.00015769,0.00015769
28,52.4618,0.75849,2.9419,1.69649,0.01493,1,0.995,0.4357,1.46966,3.64089,2.35868,0.000157072,0.000157072,0.000157072
29,54.1777,1.1891,2.9249,1.40825,0.01575,1,0.995,0.44535,1.33683,3.64699,2.10893,0.00015596,0.00015596,0.00015596
