epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.34351,2.41274,3.9132,2.18824,0.00662,1,0.41458,0.25403,1.03019,3.76948,1.72963,1.25e-05,1.25e-05,1.25e-05
2,11.1849,3.01163,4.76112,2.35356,0.00659,1,0.41458,0.25986,1.09893,3.7911,1.72507,3.67575e-05,3.67575e-05,3.67575e-05
3,15.3907,2.74092,4.37459,2.39848,0.00668,1,0.4975,0.2985,1.22346,3.80175,1.85107,6.0025e-05,6.0025e-05,6.0025e-05
4,19.6357,2.16938,3.94564,2.01297,0.00673,1,0.41458,0.26533,1.42011,3.77813,1.97799,8.23025e-05,8.23025e-05,8.23025e-05
5,23.7368,1.8675,3.78129,1.84687,0.00685,1,0.31094,0.2242,1.49753,4.07607,2.05408,0.00010359,0.00010359,0.00010359
6,28.0941,1.50393,3.80819,1.65175,0.00685,1,0.31094,0.2242,1.49753,4.07607,2.05408,0.000123888,0.000123888,0.000123888
7,32.7699,2.04236,3.91459,1.91256,0.00697,1,0.27493,0.21209,1.56289,4.11398,2.10231,0.000143195,0.000143195,0.000143195
8,37.5355,2.07526,4.09182,1.95798,0.00716,1,0.27244,0.21085,1.58374,3.9875,2.14561,0.000161513,0.000161513,0.000161513
9,41.9277,1.45328,3.46877,1.55218,0.00716,1,0.27244,0.21085,1.58374,3.9875,2.14561,0.00017884,0.00017884,0.00017884
10,46.243,1.93047,4.24502,1.82996,0.00774,1,0.26533,0.16086,1.73093,4.07337,2.16157,0.000195178,0.000195178,0.000195178
11,50.9711,1.50114,3.91572,1.63402,0.00774,1,0.26533,0.16086,1.73093,4.07337,2.16157,0.000210525,0.000210525,0.000210525
12,55.5088,2.14433,3.96275,1.7549,0.00751,1,0.25981,0.15588,1.7706,4.13326,2.18214,0.000224883,0.000224883,0.000224883
13,59.7203,2.58982,4.90104,2.033,0.00751,1,0.25981,0.15588,1.7706,4.13326,2.18214,0.00023825,0.00023825,0.00023825
