epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.64532,1.18768,3.35067,2.24084,0.01342,1,0.05135,0.01934,1.67322,3.84445,2.94757,0,0,0
2,3.54616,2.30133,3.47657,2.31759,0.01351,1,0.05024,0.01921,1.65094,3.95609,2.80805,1.22525e-05,1.22525e-05,1.22525e-05
3,5.26072,1.91384,3.28955,1.95925,0.01299,1,0.06352,0.02615,1.60848,4.23955,2.86438,2.401e-05,2.401e-05,2.401e-05
4,7.36255,2.03325,3.47822,3.04476,0.0129,1,0.07078,0.03075,1.72939,4.21784,3.07333,3.52725e-05,3.52725e-05,3.52725e-05
5,9.40137,1.71309,3.40458,2.48926,0.0129,1,0.07078,0.03075,1.72939,4.21784,3.07333,4.604e-05,4.604e-05,4.604e-05
6,11.1428,1.79958,3.24757,1.87885,0.01333,1,0.28454,0.09058,1.86744,4.16654,3.1803,5.63125e-05,5.63125e-05,5.63125e-05
7,12.809,1.74455,3.53231,2.08982,0.01333,1,0.28454,0.09058,1.86744,4.16654,3.1803,6.609e-05,6.609e-05,6.609e-05
8,14.4267,1.41671,3.36645,1.65958,0.01316,1,0.35861,0.1464,1.60597,4.17505,2.8388,7.53725e-05,7.53725e-05,7.53725e-05
9,16.14,2.09424,3.52324,2.78504,0.01316,1,0.35861,0.1464,1.60597,4.17505,2.8388,8.416e-05,8.416e-05,8.416e-05
10,17.9428,2.03443,3.22477,2.32421,0.01282,1,0.66333,0.26763,1.54099,3.97474,2.48757,9.24525e-05,9.24525e-05,9.24525e-05
11,19.5147,2.29626,3.30094,2.45381,0.01282,1,0.66333,0.26763,1.54099,3.97474,2.48757,0.00010025,0.00010025,0.00010025
12,21.2544,2.30928,3.19909,2.18485,0.01282,1,0.66333,0.26763,1.54099,3.97474,2.48757,0.000107553,0.000107553,0.000107553
13,22.9918,1.81686,3.23764,2.08299,0.01333,1,0.82833,0.3336,1.46218,4.00783,2.47724,0.00011436,0.00011436,0.00011436
14,24.6042,1.36607,3.18387,1.58293,0.01333,1,0.82833,0.3336,1.46218,4.00783,2.47724,0.000120672,0.000120672,0.000120672
15,26.2281,1.08654,3.11715,1.63999,0.01333,1,0.82833,0.3336,1.46218,4.00783,2.47724,0.00012649,0.00012649,0.00012649
16,27.9697,1.2624,2.98114,1.52522,0.01389,1,0.995,0.42823,1.54163,4.06428,2.4585,0.000131813,0.000131813,0.000131813
17,29.8554,1.71261,3.21573,2.04083,0.01389,1,0.995,0.42823,1.54163,4.06428,2.4585,0.00013664,0.00013664,0.00013664
18,31.6077,0.99385,2.91905,1.53807,0.01389,1,0.995,0.42823,1.54163,4.06428,2.4585,0.000140972,0.000140972,0.000140972
19,33.5273,1.40149,3.37786,1.73161,0.01389,1,0.995,0.42823,1.54163,4.06428,2.4585,0.00014481,0.00014481,0.00014481
20,35.2189,1.54254,3.42779,1.92596,0.01379,1,0.995,0.42293,1.54828,3.93046,2.42079,0.000148153,0.000148153,0.000148153
21,36.9399,0.83096,2.89331,1.43599,0.01379,1,0.995,0.42293,1.54828,3.93046,2.42079,0.000151,0.000151,0.000151
22,38.8056,1.20806,3.03358,1.53656,0.01379,1,0.995,0.42293,1.54828,3.93046,2.42079,0.000153353,0.000153353,0.000153353
23,40.569,1.5713,3.11599,2.158,0.01379,1,0.995,0.42293,1.54828,3.93046,2.42079,0.00015521,0.00015521,0.00015521
24,42.4959,1.04888,2.91203,1.41934,0.01493,1,0.995,0.4357,1.46966,3.64089,2.35868,0.000156573,0.000156573,0.000156573
25,44.0901,1.9556,3.14793,1.92778,0.01493,1,0.995,0.4357,1.46966,3.64089,2.35868,0.00015744,0.00015744,0.00015744
26,45.6886,1.88819,3.00005,2.00326,0.01493,1,0.995,0.4357,1.46966,3.64089,2.35868,0.000157812,0.000157812,0.000157812
27,47.2733,1.81363,2.97447,1.92052,0.01493,1,0.995,0.4357,1.46966,3.64089,2.35868,0.00015769,0.00015769,0.00015769
28,48.9462,0.75849,2.9419,1.69649,0.01493,1,0.995,0.4357,1.46966,3.64089,2.35868,0.000157072,0.000157072,0.000157072
29,50.7642,1.1891,2.9249,1.40825,0.01575,1,0.995,0.44535,1.33683,3.64699,2.10893,0.00015596,0.00015596,0.00015596
30,52.5557,1.32743,2.89424,1.63165,0.01575,1,0.995,0.44535,1.33683,3.64699,2.10893,0.000154352,0.000154352,0.000154352
31,54.2977,1.03077,2.85146,1.89829,0.01575,1,0.995,0.44535,1.33683,3.64699,2.10893,0.00015225,0.00015225,0.00015225
32,56.2019,1.86427,3.22596,2.17926,0.01575,1,0.995,0.44535,1.33683,3.64699,2.10893,0.000149652,0.000149652,0.000149652
33,58.1749,1.39758,2.99324,1.92743,0.01575,1,0.995,0.44535,1.33683,3.64699,2.10893,0.00014656,0.00014656,0.00014656
34,60.403,1.39449,2.88208,1.64532,0.01575,1,0.995,0.44535,1.33683,3.64699,2.10893,0.000142972,0.000142972,0.000142972
35,62.2897,1.3464,2.78853,1.67492,0.01695,1,0.995,0.44658,1.32397,3.54857,2.15554,0.00013889,0.00013889,0.00013889
36,64.0772,1.06894,2.71264,1.59427,0.01695,1,0.995,0.44658,1.32397,3.54857,2.15554,0.000134313,0.000134313,0.000134313
37,66.1819,2.01856,3.07895,2.10388,0.01695,1,0.995,0.44658,1.32397,3.54857,2.15554,0.00012924,0.00012924,0.00012924
38,68.0929,1.43221,2.84461,1.78818,0.01695,1,0.995,0.44658,1.32397,3.54857,2.15554,0.000123672,0.000123672,0.000123672
39,70.0131,1.07922,2.94212,1.52622,0.01695,1,0.995,0.44658,1.32397,3.54857,2.15554,0.00011761,0.00011761,0.00011761
40,71.715,1.71962,2.86493,2.07422,0.01695,1,0.995,0.44658,1.32397,3.54857,2.15554,0.000111052,0.000111052,0.000111052
41,73.8222,0.83566,2.79051,1.54267,0.01695,1,0.995,0.44658,1.32397,3.54857,2.15554,0.000104,0.000104,0.000104
42,76.2008,0.77248,2.78035,1.89981,0.01786,1,0.82833,0.41056,1.20004,3.51108,1.95467,9.64525e-05,9.64525e-05,9.64525e-05
43,78.3173,1.31695,3.1446,2.19154,0.01786,1,0.82833,0.41056,1.20004,3.51108,1.95467,8.841e-05,8.841e-05,8.841e-05
44,80.5672,0.41168,2.71076,1.39237,0.01786,1,0.82833,0.41056,1.20004,3.51108,1.95467,7.98725e-05,7.98725e-05,7.98725e-05
45,82.48,1.07247,3.15965,1.71026,0.01786,1,0.82833,0.41056,1.20004,3.51108,1.95467,7.084e-05,7.084e-05,7.084e-05
46,84.4963,0.51099,2.69581,1.39968,0.01786,1,0.82833,0.41056,1.20004,3.51108,1.95467,6.13125e-05,6.13125e-05,6.13125e-05
47,86.286,1.04189,2.74803,1.70996,0.01786,1,0.82833,0.41056,1.20004,3.51108,1.95467,5.129e-05,5.129e-05,5.129e-05
48,87.9738,1.4179,3.03255,1.79313,0.01786,1,0.82833,0.41056,1.20004,3.51108,1.95467,4.07725e-05,4.07725e-05,4.07725e-05
49,89.6727,1.1115,2.86967,1.75725,0.01786,1,0.82833,0.41056,1.20004,3.51108,1.95467,2.976e-05,2.976e-05,2.976e-05
50,91.7659,0.82691,2.55603,1.64518,0.01724,1,0.4975,0.29488,1.23697,3.40159,2.02242,1.82525e-05,1.82525e-05,1.82525e-05
